character_id,character_name,character_status,character_species,episode_name,episode_code,episode_air_date,dimension
18,Antenna Morty,Alive,Human,The Ricklantis Mixup,S03E07,"September 10, 2017",Unknown
19,Antenna Rick,unknown,Human,Close Rick-counters of the Rick Kind,S01E10,"April 7, 2014",Unknown
20,Ants in my Eyes Johnson,unknown,Human,Rixty Minutes,S01E08,"March 17, 2014",Unknown
21,Aqua Morty,unknown,Humanoid,Close Rick-counters of the Rick Kind,S01E10,"April 7, 2014",Unknown
21,Aqua Morty,unknown,Humanoid,The Rickshank Rickdemption,S03E01,"April 1, 2017",Unknown
22,Aqua Rick,unknown,Humanoid,Close Rick-counters of the Rick Kind,S01E10,"April 7, 2014",Unknown
22,Aqua Rick,unknown,Humanoid,The Rickshank Rickdemption,S03E01,"April 1, 2017",Unknown
22,Aqua Rick,unknown,Humanoid,The Ricklantis Mixup,S03E07,"September 10, 2017",Unknown
23,Arcade Alien,unknown,Alien,Mortynight Run,S02E02,"August 2, 2015",Unknown
23,Arcade Alien,unknown,Alien,Interdimensional Cable 2: Tempting Fate,S02E08,"September 20, 2015",Unknown
23,Arcade Alien,unknown,Alien,The Wedding Squanchers,S02E10,"October 4, 2015",Unknown
23,Arcade Alien,unknown,Alien,Vindicators 3: The Return of Worldender,S03E04,"August 13, 2017",Unknown
23,Arcade Alien,unknown,Alien,The Whirly Dirly Conspiracy,S03E05,"August 20, 2017",Unknown
24,Armagheadon,Alive,Alien,Get Schwifty,S02E05,"August 23, 2015",Cromulon Dimension
25,Armothy,Dead,unknown,Rickmancing the Stone,S03E02,"July 30, 2017",Post-Apocalyptic Dimension
26,Arthricia,Alive,Alien,Look Who's Purging Now,S02E09,"September 27, 2015",Replacement Dimension
27,Artist Morty,Alive,Human,Close Rick-counters of the Rick Kind,S01E10,"April 7, 2014",Unknown
27,Artist Morty,Alive,Human,The Ricklantis Mixup,S03E07,"September 10, 2017",Unknown
28,Attila Starwar,Alive,Human,Rixty Minutes,S01E08,"March 17, 2014",Unknown
28,Attila Starwar,Alive,Human,Mortynight Run,S02E02,"August 2, 2015",Unknown
28,Attila Starwar,Alive,Human,The Ricks Must Be Crazy,S02E06,"August 30, 2015",Unknown
29,Baby Legs,Alive,Human,Rixty Minutes,S01E08,"March 17, 2014",Unknown
30,Baby Poopybutthole,Alive,Poopybutthole,The Rickchurian Mortydate,S03E10,"October 1, 2017",Unknown
31,Baby Wizard,Dead,Alien,Total Rickall,S02E04,"August 16, 2015",Unknown
32,Bearded Lady,Dead,Alien,Total Rickall,S02E04,"August 16, 2015",Unknown
33,Beebo,Dead,Alien,Morty's Mind Blowers,S03E08,"September 17, 2017",unknown
34,Benjamin,Alive,Poopybutthole,Rixty Minutes,S01E08,"March 17, 2014",Unknown
34,Benjamin,Alive,Poopybutthole,Mortynight Run,S02E02,"August 2, 2015",Unknown
34,Benjamin,Alive,Poopybutthole,The Ricks Must Be Crazy,S02E06,"August 30, 2015",Unknown
35,Bepisian,Alive,Alien,Pilot,S01E01,"December 2, 2013",unknown
35,Bepisian,Alive,Alien,Ricksy Business,S01E11,"April 14, 2014",unknown
